0;1,2,3;1;3;1;2;1
1;0,2,4,5;1;4;1;5,4;1
2;0,1,3,5,6,7;1;6;1;1;0
3;0,2,7,8;1;6;1;3;1
4;1,5,9;0;6;1;2;1
5;1,2,4,6,9,11;0;3;1;1;0
6;5,2,7,13,14,12,11;1;4;1;1;0
7;2,3,8,13,6;0;4;1;4;0
8;3,15,13,7;0;2;1;2;1
9;4,5,11,10,21,22,23;0;5;1;1;0
10;9,11,16,21;0;6;1;3;1
11;5,6,12,16,10,9;1;4;1;4;1
12;11,6,14,17,16;0;1;4;2,5;0
13;6,7,8,15,19,18,14;1;3;1;5;0
14;6,13,26,18,40,38,35,29,17,12;0;5;1;1;0
15;8,13,19,20;0;1;4;3;1
16;10,11,12,17,26,21;0;3;1;1;0
17;16,12,14,26;0;2;1;3;0
18;14,13,19,20,40,44;0;4;1;3,4;0
19;13,15,20,18;0;6;1;1;0
20;19,15,44,45,18;0;1;4;1;1
21;9,10,16,26,25,22;0;2;1;1;1
22;9,21,25,24,23;0;3;1;1;1
23;9,22,24;0;1;4;1;1
24;23,22,25,27;0;3;1;3;1
25;22,21,26,28,27,24;0;4;1;2,4;0
26;21,16,17,14,29,28,25;0;4;1;4,5;0
27;24,25,28,30;0;1;4;5;1
28;25,26,29,31,30,27;0;2;1;1;0
29;26,14,35,34,31,28;0;1;4;1;0
30;27,28,31,32;0;6;1;3;1
31;30,28,29,34,33,32;0;1;4;2;0
32;30,31,33;1;4;1;4,5;1
33;32,31,34,36;0;6;1;4;1
34;33,31,29,35,37,36;1;3;1;5;0
35;29,14,38,37,34;0;6;1;1;0
36;33,34,37;0;2;1;2;1
37;35,38,39,36,34;0;1;4;3;1
38;14,40,41,39,37,35;0;3;1;2;0
39;38,41,42,37;0;4;1;4;1
40;14,18,44,41,38;0;6;1;4;0
41;38,40,44,43,42,39;0;2;1;1;0
42;39,41,43;1;3;1;5;1
43;42,41,44,45,46;1;4;1;3;1
44;18,20,45,43,41,40;0;1;4;2;0
45;20,44,43,46;0;6;1;5;1
46;45,43;0;5;1;1;0
